"kota","geocode","luas"
"kabupaten Banjarnegara","-7.379437,109.616319,18km",1096.74
"kabupaten Banyumas","-7.483213,109.140438,20km",1329.02
"kabupaten Batang","-7.039218,109.902051,15km",788
"kabupaten Blora","-7.012244,111.379893,24km",1820.59
"kabupaten boyolali","-7.431777,110.688354,18km",1015.1
"kabupaten Brebes","-6.959179,108.902683,28km",1902.37
"kabupaten Cilacap","-7.61781,108.902683,26km",2142.59
"kabupaten Demak","-6.923888,110.664568,19km",1149.77
"kabupaten Grobogan","-7.154167,110.950664,25km",1975.865
"kabupaten Jepara","-6.582711,110.678693,18km",1004.16
"kabupaten Karanganyar","-7.638723,111.046041,16km",800.2
"kabupaten kebumen","-7.668056,109.652457,20km",1281.115
"kabupaten kendal","-7.026544,110.187911,18km",1002.23
"kabuoaten klaten","-7.657893,110.664568,14km",655.56
"kabupaten Kudus","-6.772619,110.879134,12km",425.17
"kabupaten Magelang","-7.430524,110.283222,19km",1085.73
"kabupaten Pati","-6.744963,111.046041,21km",1419.07
"kabupaten Pekalongan","-7.051713,109.616319,16km",836.13
"kabupaten Pemalang","-7.059942,109.425911,18km",996.09
"kabupaten Purbalingga","-7.305858,109.425911,16km",777.64
"kabupaten Purworejo","-7.696451,109.998942,18km",1034
"kabupaten Rembang","-6.808211,111.427589,18km",1014
"kabupaten Semarang","-7.176479,110.473876,18km",981
"kabupaten Sragen","-7.43027,111.009186,17km",941
"kabupaten Sukoharjo","-7.648351,110.855292,12km",466
"kabupaten Tegal","-6.990237,109.140438,17km",878
"kabupaten Temanggung","-7.274872,110.089189,17km",870
"kabuoaten Wonogiri","-7.884648,111.046041,24km",1822
"kabupaten Wonosobo","-7.363209,109.90018,18km",984
"kota Magelang","-7.479734,110.217694,2km",18.12
"kota pekalongan","-6.889836,109.674592,4km",45.25
"kota salatiga","-7.330523,110.508437,4km",56
"kota semarang","-7.005145,110.438125,11km",373.87
"kota surakarta","-7.575489,110.824327,4km",44
"kota tegal","-6.879704,109.125592,4km",39
