"kota","geocode","luas"
"PACITAN","-8.12620096603478,111.179070766826,21km",1389.92
"PONOROGO","-7.93132019861499,111.499365871258,20km",1305.7
"TRENGGALEK","-8.16171978285094,111.626276544695,19km",1147.22
"TULUNGAGUNG","-8.11325376819842,111.887202149604,18km",1055.65
"BLITAR","-8.12943300391891,112.236800077153,21km",1336.48
"KEDIRI","-7.82875990284228,112.086342738475,21km",1386.05
"MALANG","-8.12130007292156,112.640706592499,34km",3530.65
"LUMAJANG","-8.12530106182315,113.137574493781,24km",1790.9
"JEMBER","-8.23002521145709,113.663494147503,31km",3092.34
"BANYUWANGI","-8.36481798037007,114.205449981259,43km",5782.4
"BONDOWOSO","-7.94402345067606,113.947550537948,22km",1525.97
"SITUBONDO","-7.80137754108605,114.052406069263,23km",1669.87
"PROBOLINGGO","-7.86675808185017,113.320993294214,23km",1696.21
"PASURUAN","-7.74318062983766,112.831558467208,22km",1474.02
"SIDOARJO","-7.45163213607691,112.700280787502,14km",634.38
"MOJOKERTO","-7.54827116330492,112.484277407551,15km",717.83
"JOMBANG","-7.54510236531971,112.265129497049,19km",1115.09
"NGANJUK","-7.59742263244945,111.938438618095,20km",1224.25
"MADIUN","-7.62423849465423,111.645672891253,18km",1037.58
"MAGETAN","-7.66288134784638,111.357902309774,15km",688.84
"NGAWI","-7.43923853130816,111.343090145375,20km",1295.98
"BOJONEGORO","-7.25543276038918,111.809837382752,26km",2198.79
"TUBAN","-6.95315643129073,111.891486245629,24km",1834.15
"LAMONGAN","-7.13124370399125,112.300756515745,24km",1782.05
"GRESIK","-7.14626998541743,112.538618544695,19km",1191.25
"BANGKALAN","-7.04386668604156,112.930190388649,18km",1001.44
"SAMPANG","-7.0519738328371,113.256132162111,20km",1233.08
"PAMEKASAN","-7.06497038413599,113.503885745502,16km",792.24
"SUMENEP","-6.99025118809796,113.820469186138,25km",1998.54
"KOTA KEDIRI","-7.82630507525534,112.013837820449,4km",63.4
"KOTA BLITAR","-8.09502434400607,112.166996954734,3km",32.57
"KOTA MALANG","-7.97896424179911,112.636379577034,7km",145.28
"KOTA PROBOLINGGO","-7.77506664917938,113.205322699519,4km",56.67
"KOTA PASURUAN","-7.64996361698031,112.909690697841,3km",35.29
"KOTA MOJOKERTO","-7.47131264950632,112.437436578416,2km",16.47
"KOTA MADIUN","-7.62749314360165,111.528371806048,3km",33.92
"SURABAYA","-7.27541012887887,112.722687762931,11km",350.54
"BATU","-7.83310857997798,112.531120074815,7km",136.74
